127.0.0.1 - - [25/Jul/2019:22:07:01 -0700] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [25/Jul/2019:22:07:02 -0700] "GET /FirstWebProject/Welcome HTTP/1.1" 200 77
0:0:0:0:0:0:0:1 - - [25/Jul/2019:22:07:19 -0700] "GET /FirstWebProject/Welcome HTTP/1.1" 200 77
0:0:0:0:0:0:0:1 - - [25/Jul/2019:22:09:55 -0700] "GET /FirstWebProject/Welcome HTTP/1.1" 200 77
0:0:0:0:0:0:0:1 - - [25/Jul/2019:22:10:02 -0700] "GET /FirstWebProject/Welcome HTTP/1.1" 200 77
192.168.22.188 - - [25/Jul/2019:22:10:27 -0700] "GET /FirstWebProject/Welcome HTTP/1.1" 200 77
192.168.22.188 - - [25/Jul/2019:22:10:37 -0700] "GET /FirstWebProject/Welcome HTTP/1.1" 200 77
192.168.22.188 - - [25/Jul/2019:22:10:38 -0700] "GET /FirstWebProject/Welcome HTTP/1.1" 200 77
192.168.22.188 - - [25/Jul/2019:22:10:38 -0700] "GET /FirstWebProject/Welcome HTTP/1.1" 200 77
192.168.22.188 - - [25/Jul/2019:22:10:46 -0700] "GET /FirstWebProject/Welcome HTTP/1.1" 200 77
192.168.22.188 - - [25/Jul/2019:22:10:47 -0700] "GET /FirstWebProject/Welcome HTTP/1.1" 200 78
192.168.22.188 - - [25/Jul/2019:22:10:47 -0700] "GET /FirstWebProject/Welcome HTTP/1.1" 200 78
192.168.22.188 - - [25/Jul/2019:22:10:47 -0700] "GET /FirstWebProject/Welcome HTTP/1.1" 200 78
192.168.22.188 - - [25/Jul/2019:22:10:47 -0700] "GET /FirstWebProject/Welcome HTTP/1.1" 200 78
192.168.22.188 - - [25/Jul/2019:22:10:48 -0700] "GET /FirstWebProject/Welcome HTTP/1.1" 200 78
192.168.22.188 - - [25/Jul/2019:22:10:48 -0700] "GET /FirstWebProject/Welcome HTTP/1.1" 200 78
192.168.22.188 - - [25/Jul/2019:22:10:48 -0700] "GET /FirstWebProject/Welcome HTTP/1.1" 200 78
192.168.22.188 - - [25/Jul/2019:22:10:48 -0700] "GET /FirstWebProject/Welcome HTTP/1.1" 200 78
192.168.22.188 - - [25/Jul/2019:22:10:48 -0700] "GET /FirstWebProject/Welcome HTTP/1.1" 200 78
192.168.22.188 - - [25/Jul/2019:22:10:49 -0700] "GET /FirstWebProject/Welcome HTTP/1.1" 200 78
192.168.22.188 - - [25/Jul/2019:22:10:49 -0700] "GET /FirstWebProject/Welcome HTTP/1.1" 200 78
192.168.22.188 - - [25/Jul/2019:22:10:49 -0700] "GET /FirstWebProject/Welcome HTTP/1.1" 200 78
192.168.22.188 - - [25/Jul/2019:22:10:49 -0700] "GET /FirstWebProject/Welcome HTTP/1.1" 200 78
192.168.22.188 - - [25/Jul/2019:22:10:49 -0700] "GET /FirstWebProject/Welcome HTTP/1.1" 200 78
192.168.22.188 - - [25/Jul/2019:22:10:50 -0700] "GET /FirstWebProject/Welcome HTTP/1.1" 200 78
192.168.22.188 - - [25/Jul/2019:22:10:50 -0700] "GET /FirstWebProject/Welcome HTTP/1.1" 200 78
192.168.22.188 - - [25/Jul/2019:22:10:50 -0700] "GET /FirstWebProject/Welcome HTTP/1.1" 200 78
192.168.22.188 - - [25/Jul/2019:22:10:50 -0700] "GET /FirstWebProject/Welcome HTTP/1.1" 200 78
192.168.22.188 - - [25/Jul/2019:22:10:50 -0700] "GET /FirstWebProject/Welcome HTTP/1.1" 200 78
192.168.22.188 - - [25/Jul/2019:22:10:50 -0700] "GET /FirstWebProject/Welcome HTTP/1.1" 200 78
192.168.22.188 - - [25/Jul/2019:22:10:51 -0700] "GET /FirstWebProject/Welcome HTTP/1.1" 200 78
192.168.22.188 - - [25/Jul/2019:22:10:51 -0700] "GET /FirstWebProject/Welcome HTTP/1.1" 200 78
192.168.22.188 - - [25/Jul/2019:22:10:51 -0700] "GET /FirstWebProject/Welcome HTTP/1.1" 200 78
